T D errD
5.0 0.177191002328307 3.45059146143552e-05
2.0 0.0505306080127307 5.86358143006021e-06
1.0 0.0119077797036836 7.25257783216997e-07
0.8 0.00582320747463505 3.54184989853574e-07
0.7 0.00332020487613701 2.95021809374125e-07
0.6 0.0013650721838573 3.34617804524614e-07
0.55 0.000666618449603404 9.94596503021527e-08
0.52 0.000373403958316598 1.28548752298584e-07
0.49 0.000169158275386735 4.22345745237287e-08
0.47 8.67867339021864e-05 4.71880491064304e-08
0.46 5.94667631408041e-05 3.30961505020596e-08
0.45 3.80570095834481e-05 5.27262986856533e-08
